category,rating,label,clean_text
Home_&_Kitchen,5.0,0,love well made sturdy comfortable love pretty
Home_&_Kitchen,5.0,0,love great upgrade original mine couple year
Home_&_Kitchen,5.0,0,pillow saved back love look feel pillow
Home_&_Kitchen,1.0,0,missing information use great product price
Home_&_Kitchen,5.0,0,nice set good quality set two month not
Home_&_Kitchen,3.0,0,wanted different flavor not
Home_&_Kitchen,5.0,0,perfect touch thing wish little space
Home_&_Kitchen,3.0,0,done fit well look great love smoothness edge extra
Home_&_Kitchen,5.0,0,great big number easy read thing not like size
Home_&_Kitchen,5.0,0,son love comforter well made also baby
Home_&_Kitchen,5.0,0,advertised th one problem not really
Home_&_Kitchen,5.0,0,handy one kid tool included package one
Home_&_Kitchen,5.0,0,someone say oriental great product
Home_&_Kitchen,1.0,0,flimsy not quality would expect piece furniture
Home_&_Kitchen,5.0,0,make may tea stirring problem kind hard put
Home_&_Kitchen,5.0,0,absolutely adorable excellent price wooden one month
Home_&_Kitchen,5.0,0,love perfect size entire family good quality
Home_&_Kitchen,5.0,0,look beautiful nice problem not really mesh one
Home_&_Kitchen,5.0,0,exactly would expect love look feel pillow
Home_&_Kitchen,5.0,0,star would highly recommend item love blanket
Home_&_Kitchen,5.0,0,great little egg masher month
Home_&_Kitchen,5.0,0,advertised easy use love color also dimension
Home_&_Kitchen,5.0,0,exactly pictured love look feel pillow
Home_&_Kitchen,5.0,0,fantastic wanted love look feel pillow
Home_&_Kitchen,5.0,0,supposed come extra hardware problem not really vacuum
Home_&_Kitchen,5.0,0,easy use seems easy way make smoothie small person
Home_&_Kitchen,2.0,0,not accustomed reason gave star
Home_&_Kitchen,5.0,0,nice product seller yes thin plastic piece however handle
Home_&_Kitchen,5.0,0,good bought second set look like first one not sure
Home_&_Kitchen,5.0,0,wonderful aroma throughout house problem kind hard put
Home_&_Kitchen,5.0,0,received no time flat love look husband like
Home_&_Kitchen,3.0,0,okay not nice one got local store
Home_&_Kitchen,3.0,0,gave away thought would good addition kitchen
Home_&_Kitchen,4.0,0,product fine wish option separate handle
Home_&_Kitchen,5.0,0,awesome say material good quality decent
Home_&_Kitchen,3.0,0,way heavy everyday use reason gave star one
Home_&_Kitchen,5.0,0,well made work great wooden part cup couple
Home_&_Kitchen,5.0,0,bought go old suction cup also love removable
Home_&_Kitchen,5.0,0,expected look great design make nice place baby
Home_&_Kitchen,1.0,0,awful experience everything stuck cooked evenly problem not really
Home_&_Kitchen,5.0,0,great job keeping suction also love not slide
Home_&_Kitchen,2.0,0,sheet color nice buy size town
Home_&_Kitchen,5.0,0,save instead original shipping box keep money pretty
Home_&_Kitchen,5.0,0,towel real nice love feel nice feel
Home_&_Kitchen,5.0,0,work great easy clean easy clean purchasing pretty
Home_&_Kitchen,3.0,0,alright price little disappointed quality product
Home_&_Kitchen,4.0,0,great quality beautiful color one month love
Home_&_Kitchen,1.0,0,put paper one corner cabinet put piece paper corner
Home_&_Kitchen,5.0,0,great sticker little small reason gave star one
Home_&_Kitchen,5.0,0,great quality fabric look great thick enough hold small amount coffee
Home_&_Kitchen,5.0,0,perfect exactly need keep long time
Home_&_Kitchen,5.0,0,love movie time took finish keep review next time
Home_&_Kitchen,1.0,0,not seal properly atrocious little one feel like break throw
Home_&_Kitchen,5.0,0,got third time small dog son love throw
Home_&_Kitchen,5.0,0,excellent product much better quality one get walmart
Home_&_Kitchen,5.0,1,perfect exactly looking
Home_&_Kitchen,5.0,1,great purchase not beat price
Home_&_Kitchen,5.0,1,say cheap work intended
Home_&_Kitchen,5.0,1,nice sturdy like color choice
Home_&_Kitchen,5.0,1,nice bowl fast shipping
Home_&_Kitchen,5.0,1,great cup last forever keep thing cool warm
Home_&_Kitchen,5.0,1,love thought would bit bigger
Home_&_Kitchen,5.0,1,excellent quality product perfect ccozinha
Home_&_Kitchen,5.0,1,fan really pretty actually use
Home_&_Kitchen,1.0,1,super rough not soft wash cloth like bar towel
Home_&_Kitchen,5.0,1,like little guy use often small
Home_&_Kitchen,5.0,1,perfect size easy unfold topremoves storage love
Home_&_Kitchen,1.0,1,not good job difficult use
Home_&_Kitchen,5.0,1,frame beautifully crafted look great picture
Home_&_Kitchen,5.0,1,hot cocoa finally perfect product fabulous
Home_&_Kitchen,5.0,1,bought friend love
Home_&_Kitchen,5.0,1,soft great quality low price
Home_&_Kitchen,5.0,1,purchased christmas gift love
Home_&_Kitchen,5.0,1,accurate description work great came time happy
Home_&_Kitchen,5.0,1,use duvet cover fluffy perfect fit
Home_&_Kitchen,5.0,1,one softest blanket ever nice cozy
Home_&_Kitchen,5.0,1,smell great fine mist dry quickly favorite
Home_&_Kitchen,5.0,1,exactly expecting perfect curtain bedroom
Home_&_Kitchen,4.0,1,wanted hang pant skirt
Home_&_Kitchen,3.0,1,kind small looking something larger
Home_&_Kitchen,4.0,1,little pricey
Home_&_Kitchen,5.0,1,work great charge kept day long
Home_&_Kitchen,5.0,1,nice quality frame good price
Home_&_Kitchen,3.0,1,job nothing special not hard install
Home_&_Kitchen,5.0,1,item described arrived timely manner
Home_&_Kitchen,3.0,1,bought sent one back not work
Home_&_Kitchen,5.0,1,made well hold make brush pencil mascara etc
Home_&_Kitchen,1.0,1,shed would not buy ever blanket
Home_&_Kitchen,5.0,1,work great pyrex would expect nothing less
Home_&_Kitchen,5.0,1,like little opener real easy hand
Home_&_Kitchen,5.0,1,perfect love everything look great kitchen
Home_&_Kitchen,5.0,1,air tight work great glad got
Home_&_Kitchen,5.0,1,cute good quality fabric zipper worked well
Home_&_Kitchen,5.0,1,great send grandkids halloween treat
Home_&_Kitchen,5.0,1,save ton using instead paper towel
Home_&_Kitchen,2.0,1,weak barely bring air
Home_&_Kitchen,5.0,1,great set glass good quality comfortable handle
Home_&_Kitchen,4.0,1,feel cool touch super hard
Home_&_Kitchen,5.0,1,cute made well grand daughter love
